bdd-conformance | completed | success | 2026-09-24T22:15:12Z
changes | completed | success | 2026-09-24T22:15:15Z
docs-check | completed | success | 2026-09-24T22:30:42Z
docs-check-no-git | completed | success | 2026-09-24T22:15:08Z
elaborate | completed | success | 2026-09-24T22:27:13Z
full-ci-gate | completed | success | 2026-09-24T22:15:19Z
Physical gPTP (nightly and manual) | completed | skipped | 2026-09-24T22:15:20Z
rtl-fast | completed | success | 2026-09-24T22:23:14Z
verilator-lint | completed | success | 2026-09-24T22:15:53Z
Verilator shard 0/5 | completed | success | 2026-09-24T22:27:04Z
Verilator shard 1/5 | completed | success | 2026-09-24T22:38:17Z
Verilator shard 2/5 | completed | success | 2026-09-24T22:30:58Z
Verilator shard 3/5 | completed | success | 2026-09-24T22:24:25Z
Verilator shard 4/5 | completed | success | 2026-09-24T22:40:45Z
verilator-suites | completed | success | 2026-09-24T22:40:53Z
wire-accountability | completed | success | 2026-09-24T22:15:08Z
yosys-elaboration | completed | success | 2026-09-24T22:23:09Z
yosys-portability | completed | success | 2026-09-24T22:41:02Z
Yosys shard 0/4 | completed | success | 2026-09-24T22:15:51Z
Yosys shard 1/4 | completed | success | 2026-09-24T22:16:06Z
Yosys shard 2/4 | completed | success | 2026-09-24T22:15:52Z
Yosys shard 3/4 | completed | success | 2026-09-24T22:15:59Z
