bdd-conformance | completed | success | 2026-09-25T06:24:10Z
changes | completed | success | 2026-09-25T06:24:17Z
docs-check | completed | success | 2026-09-25T06:38:59Z
docs-check-no-git | completed | success | 2026-09-25T06:24:08Z
elaborate | completed | success | 2026-09-25T06:33:30Z
full-ci-gate | completed | success | 2026-09-25T06:24:22Z
Physical gPTP (nightly and manual) | completed | skipped | 2026-09-25T06:24:22Z
rtl-fast | completed | success | 2026-09-25T06:34:23Z
verilator-lint | completed | success | 2026-09-25T06:24:47Z
Verilator shard 0/5 | completed | success | 2026-09-25T06:37:14Z
Verilator shard 1/5 | completed | success | 2026-09-25T07:03:18Z
Verilator shard 2/5 | completed | failure | 2026-09-25T07:00:32Z
Verilator shard 3/5 | completed | success | 2026-09-25T06:33:48Z
Verilator shard 4/5 | completed | success | 2026-09-25T07:07:28Z
verilator-suites | completed | failure | 2026-09-25T07:07:41Z
wire-accountability | completed | success | 2026-09-25T06:24:05Z
yosys-elaboration | completed | success | 2026-09-25T06:34:17Z
yosys-portability | completed | success | 2026-09-25T07:07:48Z
Yosys shard 0/4 | completed | success | 2026-09-25T06:30:53Z
Yosys shard 1/4 | completed | success | 2026-09-25T06:27:50Z
Yosys shard 2/4 | completed | success | 2026-09-25T06:26:30Z
Yosys shard 3/4 | completed | success | 2026-09-25T06:26:23Z
