2026-09-25T06:12:38.9169118Z shard: 2/5   selected suites: 10
2026-09-25T06:12:50.2133101Z PASS     aaf
2026-09-25T06:12:55.7425227Z PASS     aaf_audio_loop
2026-09-25T06:13:01.3152418Z PASS     aes3
2026-09-25T06:13:06.6253358Z PASS     chmap_render
2026-09-25T06:13:12.2338821Z PASS     crf_tx
2026-09-25T06:22:42.8526957Z PASS     mmcm_servo
2026-09-25T06:22:53.0592387Z PASS     ptp_sync
2026-09-25T06:24:57.0445237Z PASS     ptp_ts
2026-09-25T06:26:27.7668755Z PASS     render_setpoint
2026-09-25T06:26:33.6532035Z PASS     shaper_core
2026-09-25T06:26:33.6535385Z suites: 10   passed: 10   failed: 0   timed out: 0
