gate	exit	seconds
docs_check	0	4
em_dash_parent	0	2
em_dash_dev	0	3
em_dash_selftest	0	3
doc_style	0	0
doc_style_selftest	0	0
gptp_docs	0	0
gptp_docs_selftest	0	1
doc_map_check	0	0
timesync_chain_check	0	0
timesync_chain_selftest	0	1
submodule_diag_check	0	0
submodule_diag_selftest	0	0
submodule_docs	0	0
submodule_docs_selftest	0	0
diagram_pngs	0	0
diagram_pngs_selftest	0	7
feature_status	0	0
feature_status_selftest	0	1
module_matrix_check	0	1
solution_docs	0	0
nvm_capture	0	1
rtl_source_lists	0	1
port_contracts	0	2
naming_check	0	1
fail_fast_check	0	1
todo_ownership	0	1
test_evidence_check	0	6
test_evidence_selftest	0	5
hygiene_check	0	0
sv_idiom	0	1
cpp_idiom	0	1
py_idiom	0	3
sh_idiom	0	0
ci_events_check	0	0
ci_events_selftest	0	15
doc_paths	0	0
archive	0	0
gen_toc_selftest	0	1
gen_toc_verify_anchors	0	2
gen_toc_check	0	2
pp_srcs_check	0	0
lint_rtl_check	0	7
lint_rtl_pragmas	0	0
xvlog_gate_check	0	138
