bdd-conformance	fail	12s	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213750/job/107672103563	
Verilator shard 0/5	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672642906	
Verilator shard 1/5	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672643232	
verilator-lint	pass	32s	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213750/job/107672234973	
Verilator shard 3/5	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672642967	
Verilator shard 2/5	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672643077	
Verilator shard 4/5	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672642985	
Yosys shard 1/4	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672642807	
Yosys shard 2/4	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672642943	
Physical gPTP (nightly and manual)	skipping	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672645006	
full-ci-gate	pass	28s	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672372538	
Yosys shard 0/4	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672642818	
yosys-elaboration	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213750/job/107672235112	
Yosys shard 3/4	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213868/job/107672643001	
docs-check-no-git	pass	10s	https://github.com/kebag-logic/milan-fpga/actions/runs/36011214002/job/107672102421	
docs-check	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011214002/job/107672102247	
changes	pass	16s	https://github.com/kebag-logic/milan-fpga/actions/runs/36011213750/job/107672103116	
elaborate	pending	0	https://github.com/kebag-logic/milan-fpga/actions/runs/36011214013/job/107672102817	
wire-accountability	pass	10s	https://github.com/kebag-logic/milan-fpga/actions/runs/36011214002/job/107672102610	
