Physical gPTP (nightly and manual)	completed	skipped
Yosys shard 3/4	completed	success
Verilator shard 3/5	in_progress	-
Verilator shard 2/5	in_progress	-
Yosys shard 1/4	completed	success
Yosys shard 2/4	completed	success
Verilator shard 4/5	in_progress	-
Yosys shard 0/4	completed	success
Verilator shard 1/5	in_progress	-
Verilator shard 0/5	in_progress	-
verilator-lint	completed	success
yosys-elaboration	in_progress	-
docs-check	in_progress	-
docs-check-no-git	completed	success
wire-accountability	completed	success
elaborate	in_progress	-
full-ci-gate	completed	success
changes	completed	success
bdd-conformance	completed	success
2026-09-25T14:36:04Z
