bdd-conformance | completed | failure
changes | completed | success
docs-check | completed | failure
docs-check-no-git | completed | success
elaborate | completed | success
full-ci-gate | completed | success
Physical gPTP (nightly and manual) | completed | skipped
rtl-fast | completed | failure
verilator-lint | completed | success
Verilator shard 0/5 | completed | success
Verilator shard 1/5 | completed | cancelled
Verilator shard 2/5 | completed | success
Verilator shard 3/5 | completed | success
Verilator shard 4/5 | completed | cancelled
verilator-suites | completed | failure
wire-accountability | completed | success
yosys-elaboration | completed | success
yosys-portability | completed | success
Yosys shard 0/4 | completed | success
Yosys shard 1/4 | completed | success
Yosys shard 2/4 | completed | success
Yosys shard 3/4 | completed | success
