rtl-fast | completed | success | 54b4c3bbbc8c
verilator-lint | completed | success | 54b4c3bbbc8c
yosys-elaboration | completed | success | 54b4c3bbbc8c
Physical gPTP (nightly and manual) | completed | skipped | 54b4c3bbbc8c
Verilator shard 0/5 | completed | success | 54b4c3bbbc8c
Verilator shard 3/5 | completed | success | 54b4c3bbbc8c
Verilator shard 1/5 | in_progress | null | 54b4c3bbbc8c
Yosys shard 3/4 | completed | success | 54b4c3bbbc8c
Yosys shard 1/4 | completed | success | 54b4c3bbbc8c
Yosys shard 0/4 | completed | success | 54b4c3bbbc8c
Verilator shard 2/5 | in_progress | null | 54b4c3bbbc8c
Verilator shard 4/5 | in_progress | null | 54b4c3bbbc8c
Yosys shard 2/4 | completed | success | 54b4c3bbbc8c
elaborate | completed | success | 54b4c3bbbc8c
bdd-conformance | completed | success | 54b4c3bbbc8c
full-ci-gate | completed | success | 54b4c3bbbc8c
changes | completed | success | 54b4c3bbbc8c
wire-accountability | completed | success | 54b4c3bbbc8c
docs-check-no-git | completed | success | 54b4c3bbbc8c
docs-check | completed | success | 54b4c3bbbc8c
combined=pending contexts=0
