== KL_media_grid_align closed over KL_media_nco (#74) ==
  dir 0 t=0.0003 s: dups +1 skips +0
  dir 0 t=0.0004 s: dups +1 skips +0
  dir 0 t=0.0005 s: dups +1 skips +0
  dir 0 t=0.0005 s: dups +1 skips +0
  dir 0 t=0.0006 s: dups +1 skips +0
  dir 0 t=0.0006 s: dups +1 skips +0
  dir 0 t=0.0007 s: dups +1 skips +0
  dir 0 t=0.0008 s: dups +1 skips +0
  dir 0 t=0.0008 s: dups +1 skips +0
  dir 0 t=0.0009 s: dups +1 skips +0
  dir 0 t=0.0009 s: dups +1 skips +0
  dir 0 t=1.9585 s: dups +1 skips +0
  dir 0 t=1.9585 s: dups +1 skips +0
  dir 0 t=1.9586 s: dups +1 skips +0
  dir 0 t=1.9587 s: dups +1 skips +0
  dir 0 t=1.9587 s: dups +1 skips +0
  dir 0 t=1.9588 s: dups +1 skips +0
  dir 0 t=1.9588 s: dups +1 skips +0
  dir 0 t=1.9589 s: dups +1 skips +0
  dir 0 t=1.9589 s: dups +1 skips +0
  dir 0 t=1.9590 s: dups +1 skips +0
  dir 0 t=1.9591 s: dups +1 skips +0
  dir 0 t=3.9167 s: dups +1 skips +0
  dir 0 t=3.9167 s: dups +1 skips +0
  dir 0 t=3.9168 s: dups +1 skips +0
  dir 0 t=3.9168 s: dups +1 skips +0
  dir 0 t=3.9169 s: dups +1 skips +0
  dir 0 t=3.9169 s: dups +1 skips +0
  dir 0 t=3.9170 s: dups +1 skips +0
  dir 0 t=3.9171 s: dups +1 skips +0
  dir 0 t=3.9171 s: dups +1 skips +0
  dir 0 t=3.9172 s: dups +1 skips +0
  dir 0 t=5.8748 s: dups +1 skips +0
  dir 0 t=5.8748 s: dups +1 skips +0
  dir 0 t=5.8749 s: dups +1 skips +0
  dir 0 t=5.8750 s: dups +1 skips +0
  dir 0 t=5.8750 s: dups +1 skips +0
  dir 0 t=5.8751 s: dups +1 skips +0
  dir 0 t=5.8751 s: dups +1 skips +0
  dir 0 t=5.8752 s: dups +1 skips +0
  dir 0 t=5.8753 s: dups +1 skips +0
  dir 0 t=5.8753 s: dups +1 skips +0
  dir 0 t=5.8754 s: dups +1 skips +0
  dir 0 t=7.8330 s: dups +1 skips +0
  dir 0 t=7.8330 s: dups +1 skips +0
  dir 0 t=7.8331 s: dups +1 skips +0
  dir 0 t=7.8332 s: dups +1 skips +0
  dir 0 t=7.8332 s: dups +1 skips +0
  dir 0 t=7.8333 s: dups +1 skips +0
  dir 0 t=7.8333 s: dups +1 skips +0
  dir 0 t=7.8334 s: dups +1 skips +0
  dir 0 t=7.8334 s: dups +1 skips +0
  dir 0 t=7.8335 s: dups +1 skips +0
  dir 0 t=9.7911 s: dups +1 skips +0
  dir 0 t=9.7912 s: dups +1 skips +0
  dir 0 t=9.7912 s: dups +1 skips +0
  dir 0 t=9.7913 s: dups +1 skips +0
  dir 0 t=9.7913 s: dups +1 skips +0
  dir 0 t=9.7914 s: dups +1 skips +0
  dir 0 t=9.7914 s: dups +1 skips +0
  dir 0 t=9.7915 s: dups +1 skips +0
  dir 0 t=9.7916 s: dups +1 skips +0
  dir 0 t=9.7916 s: dups +1 skips +0
  dir 0 t=9.7917 s: dups +1 skips +0
  dir 0 t=11.7493 s: dups +1 skips +0
  dir 0 t=11.7493 s: dups +1 skips +0
  dir 0 t=11.7494 s: dups +1 skips +0
  dir 0 t=11.7495 s: dups +1 skips +0
  dir 0 t=11.7495 s: dups +1 skips +0
  dir 0 t=11.7496 s: dups +1 skips +0
  dir 0 t=11.7496 s: dups +1 skips +0
  dir 0 t=11.7497 s: dups +1 skips +0
  dir 0 t=11.7498 s: dups +1 skips +0
  dir 0 t=11.7498 s: dups +1 skips +0
  dir 0 TOTAL 12 s: rtl dups 74 skips 0 (expected ~6.13 slips)
  dir 1 t=0.2502 s: dups +1 skips +0
  dir 1 t=0.2503 s: dups +1 skips +0
  dir 1 t=0.2503 s: dups +1 skips +0
  dir 1 t=0.2504 s: dups +1 skips +0
  dir 1 t=0.2505 s: dups +1 skips +0
  dir 1 t=0.2505 s: dups +1 skips +0
  dir 1 t=0.2506 s: dups +1 skips +0
  dir 1 t=0.2506 s: dups +1 skips +0
  dir 1 t=0.2507 s: dups +1 skips +0
  dir 1 t=2.2083 s: dups +1 skips +0
  dir 1 t=2.2084 s: dups +1 skips +0
  dir 1 t=2.2084 s: dups +1 skips +0
  dir 1 t=2.2085 s: dups +1 skips +0
  dir 1 t=2.2086 s: dups +1 skips +0
  dir 1 t=2.2086 s: dups +1 skips +0
  dir 1 t=2.2087 s: dups +1 skips +0
  dir 1 t=2.2088 s: dups +1 skips +0
  dir 1 t=2.2088 s: dups +1 skips +0
  dir 1 t=4.1664 s: dups +1 skips +0
  dir 1 t=4.1665 s: dups +1 skips +0
  dir 1 t=4.1666 s: dups +1 skips +0
  dir 1 t=4.1666 s: dups +1 skips +0
  dir 1 t=4.1667 s: dups +1 skips +0
  dir 1 t=4.1668 s: dups +1 skips +0
  dir 1 t=4.1668 s: dups +1 skips +0
  dir 1 t=4.1669 s: dups +1 skips +0
  dir 1 t=4.1670 s: dups +1 skips +0
  dir 1 t=6.1246 s: dups +1 skips +0
  dir 1 t=6.1246 s: dups +1 skips +0
  dir 1 t=6.1247 s: dups +1 skips +0
  dir 1 t=6.1248 s: dups +1 skips +0
  dir 1 t=6.1248 s: dups +1 skips +0
  dir 1 t=6.1249 s: dups +1 skips +0
  dir 1 t=6.1250 s: dups +1 skips +0
  dir 1 t=6.1250 s: dups +1 skips +0
  dir 1 t=6.1251 s: dups +1 skips +0
  dir 1 t=8.0827 s: dups +1 skips +0
  dir 1 t=8.0828 s: dups +1 skips +0
  dir 1 t=8.0828 s: dups +1 skips +0
  dir 1 t=8.0829 s: dups +1 skips +0
  dir 1 t=8.0829 s: dups +1 skips +0
  dir 1 t=8.0830 s: dups +1 skips +0
  dir 1 t=8.0831 s: dups +1 skips +0
  dir 1 t=8.0831 s: dups +1 skips +0
  dir 1 t=8.0832 s: dups +1 skips +0
  dir 1 t=8.0833 s: dups +1 skips +0
  dir 1 t=10.0408 s: dups +1 skips +0
  dir 1 t=10.0409 s: dups +1 skips +0
  dir 1 t=10.0409 s: dups +1 skips +0
  dir 1 t=10.0410 s: dups +1 skips +0
  dir 1 t=10.0411 s: dups +1 skips +0
  dir 1 t=10.0411 s: dups +1 skips +0
  dir 1 t=10.0412 s: dups +1 skips +0
  dir 1 t=10.0413 s: dups +1 skips +0
  dir 1 t=10.0413 s: dups +1 skips +0
  dir 1 t=10.0414 s: dups +1 skips +0
  dir 1 t=11.9990 s: dups +1 skips +0
  dir 1 t=11.9991 s: dups +1 skips +0
  dir 1 t=11.9991 s: dups +1 skips +0
  dir 1 t=11.9992 s: dups +1 skips +0
  dir 1 t=11.9993 s: dups +1 skips +0
  dir 1 t=11.9993 s: dups +1 skips +0
  dir 1 t=11.9994 s: dups +1 skips +0
  dir 1 t=11.9995 s: dups +1 skips +0
  dir 1 t=11.9995 s: dups +1 skips +0
  dir 1 TOTAL 12 s: rtl dups 65 skips 0 (expected ~6.13 slips)

----------------------------------------------------------------------
0 checks, 0 failures
RESULT: PASS
