  t=0.10s err=35 u=-175 slip-window dups=7 skips=6 clearance_min=0
  t=0.20s err=28 u=-185 slip-window dups=0 skips=0 clearance_min=11
  t=0.30s err=20 u=-180 slip-window dups=0 skips=0 clearance_min=3
  t=0.40s err=14 u=-177 slip-window dups=73 skips=74 clearance_min=0
  t=0.50s err=10 u=-175 slip-window dups=0 skips=0 clearance_min=1
  t=0.60s err=8 u=-177 slip-window dups=0 skips=0 clearance_min=5
  t=0.70s err=4 u=-168 slip-window dups=0 skips=0 clearance_min=8
  t=0.80s err=3 u=-169 slip-window dups=0 skips=0 clearance_min=10
  t=0.90s err=3 u=-173 slip-window dups=0 skips=0 clearance_min=12
  t=1.00s err=3 u=-176 slip-window dups=0 skips=0 clearance_min=13
  t=1.10s err=1 u=-170 slip-window dups=0 skips=0 clearance_min=14
  t=1.20s err=0 u=-167 slip-window dups=0 skips=0 clearance_min=14
  t=1.30s err=0 u=-168 slip-window dups=0 skips=0 clearance_min=14
  t=1.40s err=0 u=-169 slip-window dups=0 skips=0 clearance_min=15
  t=1.50s err=1 u=-173 slip-window dups=0 skips=0 clearance_min=15
  t=1.60s err=1 u=-173 slip-window dups=0 skips=0 clearance_min=15
  t=1.70s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=1.80s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=1.90s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=2.00s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=2.10s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.20s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.30s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.40s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.60s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=2.70s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.80s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.90s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=3.00s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=3.10s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.20s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.30s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=3.40s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.60s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.70s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.80s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.90s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.00s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=4.10s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=4.20s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.30s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=4.40s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.60s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=4.70s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.80s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=4.90s err=-1 u=-167 slip-window dups=0 skips=0 clearance_min=15
  t=5.00s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.10s err=-1 u=-167 slip-window dups=0 skips=0 clearance_min=15
  t=5.20s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=5.30s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.40s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=5.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.60s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.70s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.80s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=5.90s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=6.00s err=-1 u=-167 slip-window dups=0 skips=0 clearance_min=15
