bdd-conformance	completed	success	2026-09-23T15:15:13Z	2026-09-23T15:15:29Z
changes	completed	success	2026-09-23T15:15:13Z	2026-09-23T15:15:30Z
docs-check	completed	success	2026-09-23T15:15:13Z	2026-09-23T15:23:49Z
docs-check-no-git	completed	success	2026-09-23T15:15:14Z	2026-09-23T15:15:24Z
elaborate	completed	success	2026-09-23T15:15:13Z	2026-09-23T15:24:03Z
full-ci-gate	completed	success	2026-09-23T15:15:13Z	2026-09-23T15:15:32Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-23T15:15:33Z	2026-09-23T15:15:33Z
rtl-fast	completed	success	2026-09-23T15:25:34Z	2026-09-23T15:25:37Z
verilator-lint	completed	success	2026-09-23T15:16:10Z	2026-09-23T15:16:36Z
Verilator shard 0/5	completed	success	2026-09-23T15:15:36Z	2026-09-23T15:28:18Z
Verilator shard 1/5	completed	success	2026-09-23T15:15:35Z	2026-09-23T15:37:08Z
Verilator shard 2/5	completed	success	2026-09-23T15:15:35Z	2026-09-23T15:21:54Z
Verilator shard 3/5	completed	success	2026-09-23T15:15:36Z	2026-09-23T15:24:14Z
Verilator shard 4/5	completed	success	2026-09-23T15:15:35Z	2026-09-23T15:49:17Z
verilator-suites	completed	success	2026-09-23T15:49:20Z	2026-09-23T15:49:27Z
wire-accountability	completed	success	2026-09-23T15:15:13Z	2026-09-23T15:15:22Z
yosys-elaboration	completed	success	2026-09-23T15:15:33Z	2026-09-23T15:25:32Z
yosys-portability	completed	success	2026-09-23T15:49:29Z	2026-09-23T15:49:35Z
Yosys shard 0/4	completed	success	2026-09-23T15:15:35Z	2026-09-23T15:16:13Z
Yosys shard 1/4	completed	success	2026-09-23T15:15:36Z	2026-09-23T15:16:06Z
Yosys shard 2/4	completed	success	2026-09-23T15:15:35Z	2026-09-23T15:16:00Z
Yosys shard 3/4	completed	success	2026-09-23T15:15:35Z	2026-09-23T15:16:05Z
