clk 125000000 Hz, gain M 69, envelope L 26844 units (200.003 ppm)
r_ppm  jump_us  steps_after  pairs_to_|off|<1us      s  rail_pairs  overshoot_us
 -199     -100            0                 790   98.8         798           0.1
 -199      -90            0                 710   88.8         718           0.1
 -199      -50            0                 391   48.9         399           0.1
 -199      -25            0                 192   24.0         200           0.1
 -199       25            0                   1    0.1          50           6.3
 -199       50            0                   1    0.1         101          12.6
 -199       90            0                 256   32.0         263          32.6
 -199      100            0                   2    0.2         302          37.7
 -190     -100            0                  80   10.0          80           1.2
 -190      -90            0                  72    9.0          72           1.2
 -190      -50            0                  40    5.0          40           1.2
 -190      -25            0                  20    2.5          20           1.3
 -190       25            0                   1    0.1           4           6.3
 -190       50            0                  13    1.6          12          12.8
 -190       90            0                  29    3.6          29          32.9
 -190      100            0                  34    4.2          33          38.4
 -180     -100            0                  40    5.0          40           2.5
 -180      -90            0                  36    4.5          36           2.5
 -180      -50            0                  20    2.5          20           2.5
 -180      -25            0                  10    1.2          10           2.5
 -180       25            0                   1    0.1           0           6.3
 -180       50            0                   8    1.0           6          13.1
 -180       90            0                  17    2.1          15          33.2
 -180      100            0                  20    2.5          18          39.4
 -160     -100            0                   2    0.2           0           0.0
 -160      -90            0                  18    2.2          18           5.0
 -160      -50            0                  10    1.2          10           5.0
 -160      -25            0                   5    0.6           5           5.0
 -160       25            0                   1    0.1           0           6.3
 -160       50            0                   9    1.1           1          13.8
 -160       90            0                   2    0.2           9          33.9
 -160      100            0                  19    2.4          12          41.3
 -140     -100            0                   2    0.2           0           0.0
 -140      -90            0                  12    1.5          12           7.5
 -140      -50            0                  14    1.8           7           7.5
 -140      -25            0                  11    1.4           4           7.5
 -140       25            0                   1    0.1           0           6.3
 -140       50            0                   9    1.1           1          14.4
 -140       90            0                  11    1.4           5          35.6
 -140      100            0                  10    1.2           7          42.4
 -100     -100            0                   2    0.2           0           0.0
 -100      -90            0                  15    1.9           8          12.5
 -100      -50            0                   4    0.5           5          12.5
 -100      -25            0                   2    0.2           2           9.4
 -100       25            0                   1    0.1           0           6.3
 -100       50            0                  10    1.2           1          15.6
 -100       90            0                  12    1.5           3          37.4
 -100      100            0                  13    1.6           3          37.5
    0     -100            0                   4    0.5           4          25.0
    0      -90            0                  13    1.6           4          25.0
    0      -50            0                   2    0.2           2          18.8
    0      -25            0                   1    0.1           1           6.3
    0       25            0                   1    0.1           1           6.3
    0       50            0                   2    0.2           2          18.8
    0       90            0                  13    1.6           4          25.0
    0      100            0                   4    0.5           4          25.0
  100     -100            0                  13    1.6           3          37.4
  100      -90            0                  12    1.5           3          37.4
  100      -50            0                  10    1.2           1          15.6
  100      -25            0                   1    0.1           0           6.3
  100       25            0                   2    0.2           2           9.4
  100       50            0                   4    0.5           4          12.5
  100       90            0                  15    1.9           8          12.5
  100      100            0                   8    1.0           8          12.5
  140     -100            0                  10    1.2           7          42.4
  140      -90            0                  11    1.4           5          35.6
  140      -50            0                   9    1.1           1          14.4
  140      -25            0                   1    0.1           0           6.3
  140       25            0                  11    1.4           4           7.5
  140       50            0                  14    1.8           7           7.5
  140       90            0                  12    1.5          12           7.5
  140      100            0                  21    2.6          14           7.5
  160     -100            0                  19    2.4          12          41.3
  160      -90            0                   2    0.2           9          33.9
  160      -50            0                   9    1.1           1          13.8
  160      -25            0                   1    0.1           0           6.3
  160       25            0                   5    0.6           5           5.0
  160       50            0                  10    1.2          10           5.0
  160       90            0                  18    2.2          18           5.0
  160      100            0                  20    2.5          20           5.0
  180     -100            0                   2    0.2           0           0.0
  180      -90            0                  17    2.1          15          33.2
  180      -50            0                   8    1.0           6          13.1
  180      -25            0                   1    0.1           0           6.3
  180       25            0                  10    1.2          10           2.5
  180       50            0                  20    2.5          20           2.5
  180       90            0                  36    4.5          36           2.5
  180      100            0                  40    5.0          40           2.5
  190     -100            0                   2    0.2           0           0.0
  190      -90            0                  29    3.6          29          32.9
  190      -50            0                  13    1.6          12          12.8
  190      -25            0                   1    0.1           4           6.3
  190       25            0                  20    2.5          20           1.3
  190       50            0                  40    5.0          40           1.3
  190       90            0                  72    9.0          72           1.3
  190      100            0                  80   10.0          80           1.3
  199     -100            0                   2    0.2           0           0.0
  199      -90            0                 256   32.0         263          32.6
  199      -50            0                   1    0.1         101          12.5
  199      -25            0                   1    0.1          50           6.3
  199       25            0                 192   24.0         200           0.1
  199       50            0                 391   48.9         399           0.1
  199       90            0                 710   88.8         718           0.1
  199      100            0                 790   98.8         798           0.1

locked jumps inside 100 us that later step: 0
largest overshoot: r=-140 ppm jump=100 us -> 42.4 us
slowest settle: r=-199 ppm jump=-100 us -> 790 pairs (98.8 s)
