# hosted suites job 107156076335 (pull_request run 35853380979) at 0ca178678490 - extracted verdict lines
2026-09-23T11:14:34.4952842Z Verilator 5.050 2026-07-01 rev v5.050
2026-09-23T11:14:37.2664486Z LINT OK  KL_pp_nvm_port
2026-09-23T11:14:52.3160398Z PASS acmp_listener (2540 checks: 2540 PASS, 0 FAIL)
2026-09-23T11:14:55.7593781Z PASS acmp_nvm (86 checks: 86 PASS, 0 FAIL)
2026-09-23T11:14:59.1452684Z PASS acmp_talker (839 checks: 839 PASS, 0 FAIL)
2026-09-23T11:15:02.5153203Z PASS adp_engine (533 checks: 533 PASS, 0 FAIL)
2026-09-23T11:15:05.8572461Z PASS aecp_notify (10 checks: 10 PASS, 0 FAIL)
2026-09-23T11:15:09.0846164Z PASS ca_originator (16 checks: 16 PASS, 0 FAIL)
2026-09-23T11:15:12.4680446Z PASS desc_store (584 checks: 584 PASS, 0 FAIL)
2026-09-23T11:15:15.7083211Z PASS dispatch (211 checks: 211 PASS, 0 FAIL)
2026-09-23T11:15:22.5698189Z PASS dyn_state (89 checks: 89 PASS, 0 FAIL)
2026-09-23T11:15:25.7808721Z PASS event_router (81 checks: 81 PASS, 0 FAIL)
2026-09-23T11:15:29.1037875Z PASS maap (75 checks: 75 PASS, 0 FAIL)
2026-09-23T11:15:32.3455316Z PASS nvm_port (122 checks: 122 PASS, 0 FAIL)
2026-09-23T11:15:35.6717792Z PASS originator (104 checks: 104 PASS, 0 FAIL)
2026-09-23T11:18:31.9814743Z PASS pp_top (1411 checks: 1411 PASS, 0 FAIL)
2026-09-23T11:18:35.1823978Z PASS prng (76 checks: 76 PASS, 0 FAIL)
2026-09-23T11:18:38.4137864Z PASS release_merge (18 checks: 18 PASS, 0 FAIL)
2026-09-23T11:18:41.6395229Z PASS resp_buf (64 checks: 64 PASS, 0 FAIL)
2026-09-23T11:18:44.9332136Z PASS rx_slots (130 checks: 130 PASS, 0 FAIL)
2026-09-23T11:18:48.2264357Z PASS rx_validator (393 checks: 393 PASS, 0 FAIL)
2026-09-23T11:18:51.5193532Z PASS scoreboard (3705 checks: 3705 PASS, 0 FAIL)
2026-09-23T11:18:54.7144170Z PASS side_port (368 checks: 368 PASS, 0 FAIL)
2026-09-23T11:18:57.9416421Z PASS srp_decoder (113 checks: 113 PASS, 0 FAIL)
2026-09-23T11:19:01.3075958Z PASS srp_encoder (180 checks: 180 PASS, 0 FAIL)
2026-09-23T11:19:05.7858690Z PASS srp_stream_fsms (1005 checks: 1005 PASS, 0 FAIL)
2026-09-23T11:19:11.2738805Z PASS srp_top (235 checks: 235 PASS, 0 FAIL)
2026-09-23T11:19:24.6979842Z PASS timer_map (1360 checks: 1360 PASS, 0 FAIL)
2026-09-23T11:19:27.8377698Z PASS timer_service (48 checks: 48 PASS, 0 FAIL)
2026-09-23T11:19:31.0525871Z PASS tx_arbiter (66 checks: 66 PASS, 0 FAIL)
2026-09-23T11:19:34.2146516Z PASS tx_slots (95 checks: 95 PASS, 0 FAIL)
2026-09-23T11:19:37.5469119Z PASS ucpu (386 checks: 386 PASS, 0 FAIL)
2026-09-23T11:19:37.5847461Z matrix: OK (86 rows, 0 untested)
2026-09-23T11:19:37.5896166Z make -C tb/nvm_port figures
2026-09-23T11:19:38.5063075Z make: Entering directory '/home/runner/work/protocol-processor-control-plane-avb-milan/protocol-processor-control-plane-avb-milan/tb/nvm_port'
2026-09-23T11:22:01.8078975Z make: Leaving directory '/home/runner/work/protocol-processor-control-plane-avb-milan/protocol-processor-control-plane-avb-milan/tb/nvm_port'
# LINT OK count: 37
# log sha256: 63591f49e5e470d37e239e76f02ca46449c9ba405cf26dfbd5f438a91da92270
