bank                    base    r1    r2
acc_r                     32    32    32
aidx_r                     3     3     8
cidx_q1_r                  3     3     3
cidx_q2_r                  3     3     3
cidx_r                     3     3     3
grant_r                    8     8     8
gslope_r                 256   256   256
over_acc_r                 1     1     1
over_r                     1     1     1
pend_acc_r                 0     0     1
round_done_o               1     1     1
slope_q_r                256   256   256
slope_valid_r              0     8     8
sum_r                     32    32    32
valid_q1_r                 0     1     1
valid_q2_r                 0     1     1
wgrant_r                   7     8     8
wgslope_r                256   224   256
