instance                     LUTb  LUTr1  LUTr2 |    FFb   FFr1   FFr2
 Instance                  TotalLUTs TotalLUTs TotalLUTs |    FFs    FFs    FFs
 KL_srp_top                  7566   7334   7603 |  10485  10464  10502
 (KL_srp_top)                 840    819    840 |   3175   3176   3176
 u_admission                  782    503    749 |    862    841    879
 u_decoder                    899    932    933 |    631    631    631
 u_domain                      57     58     58 |    108    108    108
 u_encoder                   1181   1252   1253 |   1146   1143   1143
 u_listener                  1779   1776   1777 |   2316   2316   2316
 u_talker                    1667   1893   1894 |   2176   2178   2178
 u_vlan                       361    101     99 |     71     71     71
