A-pending-absent         N3-multi   rc=1   KILLED     2148210 checks: 2134244 PASS, 13966 FAIL | R3 publication equals greedy walk over current declarations
A-pending-absent         N8-single  rc=1   KILLED     9479061 checks: 9474151 PASS, 4910 FAIL | R3 publication equals greedy walk over current declarations
B-stale-both             N3-multi   rc=1   KILLED     2159547 checks: 2113454 PASS, 46093 FAIL | R1 granted slope is the current TSpec's slope, else 0; R3 publication equals greedy walk over current declarations
B-stale-both             N8-single  rc=1   KILLED     9500814 checks: 9458366 PASS, 42448 FAIL | R1 granted slope is the current TSpec's slope, else 0; R3 publication equals greedy walk over current declarations
C-discard-strobes        N3-multi   rc=1   KILLED     2134803 checks: 2120556 PASS, 14247 FAIL | R3 publication equals greedy walk over current declarations
C-discard-strobes        N8-single  rc=1   KILLED     9446600 checks: 9439977 PASS, 6623 FAIL | R3 publication equals greedy walk over current declarations
D-last-visit-ignored     N3-multi   rc=1   KILLED     2176266 checks: 2174267 PASS, 1999 FAIL | R3 publication equals greedy walk over current declarations
D-last-visit-ignored     N8-single  rc=1   KILLED     9540330 checks: 9540215 PASS, 115 FAIL | R3 publication equals greedy walk over current declarations
E-pend-not-accumulated   N3-multi   rc=1   KILLED     2173677 checks: 2168963 PASS, 4714 FAIL | R3 publication equals greedy walk over current declarations
E-pend-not-accumulated   N8-single  rc=1   KILLED     9490861 checks: 9486446 PASS, 4415 FAIL | R3 publication equals greedy walk over current declarations
F-validity-terms-only    N3-multi   rc=0   SURVIVED   2182232 checks: 2182232 PASS, 0 FAIL | 
F-validity-terms-only    N8-single  rc=0   SURVIVED   9544389 checks: 9544389 PASS, 0 FAIL | 
G-no-immediate-retire    N3-multi   rc=1   KILLED     2259789 checks: 2183959 PASS, 75830 FAIL | R1 granted slope is the current TSpec's slope, else 0
G-no-immediate-retire    N8-single  rc=1   KILLED     9665461 checks: 9560541 PASS, 104920 FAIL | R1 granted slope is the current TSpec's slope, else 0
H-no-round-restart       N3-multi   rc=1   KILLED     2185262 checks: 2123349 PASS, 61913 FAIL | R1 granted slope is the current TSpec's slope, else 0; R3 publication equals greedy walk over current declarations; R4 no publication within a round of a change
H-no-round-restart       N8-single  rc=1   KILLED     9579343 checks: 9472317 PASS, 107026 FAIL | R1 granted slope is the current TSpec's slope, else 0; R3 publication equals greedy walk over current declarations; R4 no publication within a round of a change
I-aggregate-not-frozen   N3-multi   rc=1   KILLED     2182232 checks: 2172749 PASS, 9483 FAIL | R5 aggregate holds
I-aggregate-not-frozen   N8-single  rc=1   KILLED     9544389 checks: 9539301 PASS, 5088 FAIL | R5 aggregate holds
control                  N3-multi   rc=0   PASS       2182232 checks: 2182232 PASS, 0 FAIL | 
control                  N8-single  rc=0   PASS       9544389 checks: 9544389 PASS, 0 FAIL | 
rc=0
