  PASS acmp_listener (2544 checks: 2544 PASS, 0 FAIL)
  PASS acmp_nvm (349 checks: 349 PASS, 0 FAIL)
  PASS acmp_talker (839 checks: 839 PASS, 0 FAIL)
  PASS adp_engine (533 checks: 533 PASS, 0 FAIL)
  PASS aecp_notify (10 checks: 10 PASS, 0 FAIL)
  PASS ca_originator (16 checks: 16 PASS, 0 FAIL)
  PASS desc_mem_guard (78 checks: 78 PASS, 0 FAIL)
  PASS desc_store (584 checks: 584 PASS, 0 FAIL)
  PASS dispatch (211 checks: 211 PASS, 0 FAIL)
  PASS dyn_state (89 checks: 89 PASS, 0 FAIL)
  PASS event_router (81 checks: 81 PASS, 0 FAIL)
  PASS lsn_admit (18 checks: 18 PASS, 0 FAIL)
  PASS maap (75 checks: 75 PASS, 0 FAIL)
  PASS nvm_port (136 checks: 136 PASS, 0 FAIL)
  PASS originator (104 checks: 104 PASS, 0 FAIL)
  PASS pp_top (1948 checks: 1948 PASS, 0 FAIL)
  PASS prng (76 checks: 76 PASS, 0 FAIL)
  PASS release_merge (18 checks: 18 PASS, 0 FAIL)
  PASS resp_buf (64 checks: 64 PASS, 0 FAIL)
  PASS rx_slots (130 checks: 130 PASS, 0 FAIL)
  PASS rx_validator (393 checks: 393 PASS, 0 FAIL)
  PASS scoreboard (3705 checks: 3705 PASS, 0 FAIL)
  PASS side_port (368 checks: 368 PASS, 0 FAIL)
  PASS srp_admission (991231 checks: 991231 PASS, 0 FAIL)
  PASS srp_decoder (190 checks: 190 PASS, 0 FAIL)
  PASS srp_encoder (556 checks: 556 PASS, 0 FAIL)
  PASS srp_stream_fsms (1087 checks: 1087 PASS, 0 FAIL)
  PASS srp_top (1531 checks: 1531 PASS, 0 FAIL)
  PASS timer_map (1360 checks: 1360 PASS, 0 FAIL)
  PASS timer_service (48 checks: 48 PASS, 0 FAIL)
  PASS tx_arbiter (66 checks: 66 PASS, 0 FAIL)
  PASS tx_slots (95 checks: 95 PASS, 0 FAIL)
  PASS ucpu (386 checks: 386 PASS, 0 FAIL)
  suites: 1008919 checks total, 0 failing
