instance                           dLUT    dFF
protocol_processor_top              640    784
protocol_processor_top/(protocol_processor_top)    -24    153
protocol_processor_top/g_rx_pool[2].u_rx_slots      2      0
protocol_processor_top/g_rx_pool[3].u_rx_slots      5      0
protocol_processor_top/g_rx_pool[5].u_rx_slots      9      0
protocol_processor_top/u_adp         43      0
protocol_processor_top/u_aecp        69     -2
protocol_processor_top/u_aecp/(u_aecp)     19     -2
protocol_processor_top/u_aecp/u_resp    -24      0
protocol_processor_top/u_aecp/u_ucpu     74      0
protocol_processor_top/u_ca_builder     28      0
protocol_processor_top/u_dispatch     -3      1
protocol_processor_top/u_dispatch/u_maap_q      1      0
protocol_processor_top/u_dispatch/u_acmp_q     44      0
protocol_processor_top/u_dispatch/u_adp_q      2      0
protocol_processor_top/u_dispatch/u_aecp_q    -50      1
protocol_processor_top/u_event_router      3      0
protocol_processor_top/u_listener     22      0
protocol_processor_top/u_maap        55      0
protocol_processor_top/u_mrp_strip      6      0
protocol_processor_top/u_normalizer     -1      0
protocol_processor_top/u_notify       1      0
protocol_processor_top/u_nvm_port      1      0
protocol_processor_top/u_nvm_shadow    -10      0
protocol_processor_top/u_originator    -79      0
protocol_processor_top/u_prng        -4      0
protocol_processor_top/u_rx_validator    -55      0
protocol_processor_top/u_scoreboard     -1      0
protocol_processor_top/u_side_port     21      0
protocol_processor_top/u_srp        657    631
protocol_processor_top/u_srp/(u_srp)      4      1
protocol_processor_top/u_srp/u_admission   -291    -32
protocol_processor_top/u_srp/u_decoder     96    128
protocol_processor_top/u_srp/u_domain     37      2
protocol_processor_top/u_srp/u_encoder     36     19
protocol_processor_top/u_srp/u_listener    808    512
protocol_processor_top/u_srp/u_talker    -39      1
protocol_processor_top/u_srp/u_vlan      6      0
protocol_processor_top/u_talker     -24      1
protocol_processor_top/u_timer       19      0
protocol_processor_top/u_tx_arbiter    -39      0
protocol_processor_top/u_tx_slots    -24      0
