rc=0 pp_top (1427 checks: 1427 PASS, 0 FAIL) compiler-warnings=0
rc=0 acmp_nvm (332 checks: 332 PASS, 0 FAIL) compiler-warnings=0
rc=0 acmp_listener (2540 checks: 2540 PASS, 0 FAIL) compiler-warnings=0
rc=0 acmp_talker (839 checks: 839 PASS, 0 FAIL) compiler-warnings=0
rc=0 adp_engine (533 checks: 533 PASS, 0 FAIL) compiler-warnings=0
rc=0 aecp_notify (10 checks: 10 PASS, 0 FAIL) compiler-warnings=0
rc=0 ca_originator (16 checks: 16 PASS, 0 FAIL) compiler-warnings=0
rc=0 desc_store (584 checks: 584 PASS, 0 FAIL) compiler-warnings=0
rc=0 dispatch (211 checks: 211 PASS, 0 FAIL) compiler-warnings=6
rc=0 dyn_state (89 checks: 89 PASS, 0 FAIL) compiler-warnings=0
rc=0 event_router (81 checks: 81 PASS, 0 FAIL) compiler-warnings=0
rc=0 lsn_admit (18 checks: 18 PASS, 0 FAIL) compiler-warnings=0
rc=0 maap (75 checks: 75 PASS, 0 FAIL) compiler-warnings=0
rc=0 nvm_port (136 checks: 136 PASS, 0 FAIL) compiler-warnings=0
rc=0 originator (104 checks: 104 PASS, 0 FAIL) compiler-warnings=0
rc=0 prng (76 checks: 76 PASS, 0 FAIL) compiler-warnings=0
rc=0 release_merge (18 checks: 18 PASS, 0 FAIL) compiler-warnings=0
rc=0 resp_buf (64 checks: 64 PASS, 0 FAIL) compiler-warnings=0
rc=0 rx_slots (130 checks: 130 PASS, 0 FAIL) compiler-warnings=0
rc=0 rx_validator (393 checks: 393 PASS, 0 FAIL) compiler-warnings=0
rc=0 scoreboard (3705 checks: 3705 PASS, 0 FAIL) compiler-warnings=0
rc=0 side_port (368 checks: 368 PASS, 0 FAIL) compiler-warnings=0
rc=0 srp_decoder (190 checks: 190 PASS, 0 FAIL) compiler-warnings=0
rc=0 srp_encoder (556 checks: 556 PASS, 0 FAIL) compiler-warnings=0
rc=0 srp_stream_fsms (1068 checks: 1068 PASS, 0 FAIL) compiler-warnings=0
rc=0 srp_top (255 checks: 255 PASS, 0 FAIL) compiler-warnings=0
rc=0 timer_map (1360 checks: 1360 PASS, 0 FAIL) compiler-warnings=0
rc=0 timer_service (48 checks: 48 PASS, 0 FAIL) compiler-warnings=0
rc=0 tx_arbiter (66 checks: 66 PASS, 0 FAIL) compiler-warnings=0
rc=0 tx_slots (95 checks: 95 PASS, 0 FAIL) compiler-warnings=0
rc=0 ucpu (386 checks: 386 PASS, 0 FAIL) compiler-warnings=0
