# GENERATED by scripts/check_nvm_record_space.py --emit-record-table
# DO NOT EDIT: the gate rebuilds this file and reports a mismatch.
shape endstation_ax7101_1x1_tdm8
layout 2
hdrbytes 40
imglen 2696
crc32 0x443C1A8C
nrec 46
# rec <id> <area_offset> <framed_len> <payload_len> <group> <index>
rec 0x00 0 10 2 CFG_IDX 0
rec 0x01 10 16 8 SUID 0
rec 0x02 26 12 4 RATE 0
rec 0x0A 38 10 2 CLKSRC 0
rec 0x12 48 74 66 MCR 0
rec 0x20 122 28 20 BINDING 0
rec 0x21 150 28 20 BINDING 1
rec 0x30 178 16 8 FMT_IN 0
rec 0x31 194 16 8 FMT_IN 1
rec 0x40 210 16 8 FMT_OUT 0
rec 0x41 226 16 8 FMT_OUT 1
rec 0x50 242 12 4 PT_OFS 0
rec 0x51 254 12 4 PT_OFS 1
rec 0x60 266 8 0 MAPS_IN 0
rec 0x70 274 144 136 MAPS_OUT 0
rec 0x80 418 72 64 NAME 0
rec 0x81 490 72 64 NAME 1
rec 0x82 562 72 64 NAME 2
rec 0x83 634 72 64 NAME 3
rec 0x84 706 72 64 NAME 4
rec 0x85 778 72 64 NAME 5
rec 0x86 850 72 64 NAME 6
rec 0x87 922 72 64 NAME 7
rec 0x88 994 72 64 NAME 8
rec 0x89 1066 72 64 NAME 9
rec 0x8A 1138 72 64 NAME 10
rec 0x8B 1210 72 64 NAME 11
rec 0x8C 1282 72 64 NAME 12
rec 0x8D 1354 72 64 NAME 13
rec 0x8E 1426 72 64 NAME 14
rec 0x8F 1498 72 64 NAME 15
rec 0x90 1570 72 64 NAME 16
rec 0x91 1642 72 64 NAME 17
rec 0x92 1714 72 64 NAME 18
rec 0x93 1786 72 64 NAME 19
rec 0x94 1858 72 64 NAME 20
rec 0x95 1930 72 64 NAME 21
rec 0x96 2002 72 64 NAME 22
rec 0x97 2074 72 64 NAME 23
rec 0x98 2146 72 64 NAME 24
rec 0x99 2218 72 64 NAME 25
rec 0x9A 2290 72 64 NAME 26
rec 0x9B 2362 72 64 NAME 27
rec 0x9C 2434 72 64 NAME 28
rec 0x9D 2506 72 64 NAME 29
rec 0x9E 2578 72 64 NAME 30
